Id,Bed,Bath,Sqft,Price,Lot,Ybuilt,Ptax,Wscore
1092299185,4,3,6677,1200,710464,1945,27821,81
5060704696,6,6,6100,1360,91900,1972,27417,2
5058815070,5,5,5785,1850,61146,2001,23250,1
3054077721,4,4,5400,1130,40491,1965,18680,1
5054487661,5,4,5374,1420,40368,1984,17500,2
1066621115,5,4,5156,1280,49109,1949,15100,2
1043804511,4,3,5120,1400,39921,1994,21250,0
3262895971,5,4,5046,1090,40501,1986,15900,9
5047658718,6,4,4693,1100,13430,1955,23329,10
3150848989,4,3,4224,1240,49888,1957,16000,5
5042967707,4,3,4119,849,18331,1956,17612,14
5057335750,4,4,4000,990,36828,1900,20902,28
5057422838,3,3,3979,1400,54548,1950,13500,0
5059759834,3,4,3970,875,2900,1996,21289,50
5057817047,3,4,3860,750,2660,1996,22257,37
3229866155,3,4,3734,895,3418,1997,18276,58
5052933513,2,4,3562,849,3037,1995,17927,75
3009634525,4,4,3547,1300,62484,1975,16250,0
5043574268,4,4,3460,1100,17222,1900,24773,74
5058557783,4,3,3400,799,10890,1940,25160,84
5057426145,4,3,3400,1100,40549,1981,31480,1
5058125762,5,4,3400,899,28749,1998,21801,66
17395099,3,2,3300,850,9886,2004,16044,62
5056948651,4,4,3168,834,12879,1968,18386,79
3210738021,3,3,3144,639,24143,1917,11700,11
5059164656,4,3,3100,599,32998,1966,9900,11
5056632524,4,3,3095,789,4786,1962,17321,6
5054042756,4,3,3025,879,9428,1935,23321,43
1044886931,5,3,3013,899,22655,1895,21229,75
5055577379,2,3,2915,685,1850,1990,18579,34
1034452863,4,3,2912,879,9978,1995,19252,12
1044886929,4,3,2889,950,42180,2009,28658,2
5048028248,4,3,2796,825,57167,1966,16876,45
5057339336,5,4,2632,829,32670,1952,20418,30
5060067317,3,3,2616,629,44323,1957,9500,7
1070982154,5,3,2546,739,7852,1961,20,786
5039034729,3,3,2544,969,4356,2017,26805,21
3087043890,4,3,2459,895,7934,1930,26515,49
3126353718,7,3,2332,730,3891,1917,15483,81
3193422355,3,3,2329,975,8420,1906,19160,87
5042244114,4,2,2275,379,54500,1952,5000,75
1043667012,3,3,2274,799,16117,1973,7886,17
5054951770,4,3,2236,789,8713,1922,16451,76
5055994731,3,2,2200,799,7384,1940,15386,74
3224814303,4,3,2200,699,6367,1956,17837,34
5052850256,3,2,2194,719,9879,1930,14225,89
3000129339,3,2,2165,620,25700,1962,16218,26
5054927519,5,2,2088,699,13746,1941,17176,47
5057971467,4,2,2048,649,16881,1960,16138,1
3236802783,3,3,2023,679,13068,1927,15572,30
1090857348,3,3,2015,849,47118,1962,12082,1
1043934173,3,3,2000,799,31151,1977,18096,34
5052481426,4,2,2000,649,7405,1920,11748,78
1061954713,5,3,1958,340,6159,1881,10257,78
5053166797,4,3,1940,750,40062,1961,11800,3
5060394668,3,3,1938,660,11761,1923,18676,51
5060211660,3,3,1909,669,7426,1969,16160,72
5059174147,5,3,1900,799,19166,1953,17709,84
1027408422,3,3,1900,570,7405,1929,9195,76
3211473362,3,2,1893,480,6590,1980,15289,4
3220151867,5,2,1884,450,4739,1963,7900,82
3155565107,3,1,1856,810,41323,1950,8400,1
5057002067,2,1,1821,549,28351,1958,13299,60
3000619836,3,3,1820,600,1236,1990,14322,81
5059931282,3,2,1811,615,8374,1956,14902,29
5054112169,4,2,1800,679,16552,1942,13547,16
5040892343,3,2,1800,629,27294,1981,16361,64
3239488893,4,1,1615,499,7949,1950,12580,85
3163173392,3,2,1488,489,10566,1940,11325,59
5058724932,3,2,1450,469,5437,1950,12386,76
5043389829,2,3,1450,400,900,1917,6677,80
5054098096,3,2,1364,375,31450,1983,9815,30
5059326954,2,2,1297,460,900,1979,5954,21
5059285641,3,2,1296,539,11761,1868,13644,68
1071652196,2,2,1024,399,900,1978,3936,75
3150945497,1,1,720,200,800,1958,3899,45
