Id,Bed,Bath,Sqft,Price,Lot,Ybuilt,Ptax,Wscore,Lclass,Hclass,Zpid
5dbf9d7dd923b05b4187eb40,3,1,2480,518285,6534,1955,10741,23,3,3,33053436
5dbf9d7dd923b05b4187eb40,4,1.5,1066,760931,6969,1901,14418,89,3,1,33054261
5dbf9d7dd923b05b4187eb40,5,2,3200,684332,7405,1903,13354,51,3,4,33053794
5dbf9d7dd923b05b4187eb40,5,2,2576,538178,7544,1969,13451,52,3,3,33053498
5dbf9d7dd923b05b4187eb40,3,2,2451,492761,7670,1961,13934,22,3,3,33053419
5dbf9d7dd923b05b4187eb40,4,2,2522,713886,7705,1960,14418,10,3,3,33053450
5dbf9d7dd923b05b4187eb40,3,2,2016,567574,8276,1964,13160,25,3,3,33053292
5dbf9d7dd923b05b4187eb40,3,4,2801,975343,9922,1931,24676,56,3,3,33053672
5dbf9d7dd923b05b4187eb40,3,2,2690,702220,11438,1923,11709,40,3,3,33053586
5dbf9d7dd923b05b4187eb40,4,3,1450,698347,12196,1931,10071,69,3,2,33057478
5dbf9d7dd923b05b4187eb40,4,3,1729,745568,12196,1922,16451,76,3,2,33053628
5dbf9d7dd923b05b4187eb40,5,3.5,2236,1115601,13068,2016,31160,32,3,3,33053385
5dbf9d7dd923b05b4187eb40,4,5,1530,978811,13503,2015,28644,28,3,2,33054418
5dbf9d7dd923b05b4187eb40,4,2,3338,703998,13791,1900,19354,42,3,4,33053799
5dbf9d7dd923b05b4187eb40,4,2,2484,598388,14810,1959,12096,13,3,3,33053445
5dbf9d7dd923b05b4187eb40,3,1,1983,414748,15246,1954,11031,34,3,2,33053187
5dbf9d7dd923b05b4187eb40,3,1.5,1986,495633,15681,1954,12580,28,3,2,33053189
5dbf9d7dd923b05b4187eb40,4,2,1800,505750,15999,1956,14805,22,3,2,33053171
5dbf9d7dd923b05b4187eb40,3,2,2066,848331,21780,1926,19257,31,3,3,33053308
5dbf9d7dd923b05b4187eb40,4,3,2200,771561,24968,1960,19354,41,3,3,33053329
5dbf9d7dd923b05b4187eb40,3,2,2000,536150,29185,1955,14999,15,3,3,33053220
5dbf9d7dd923b05b4187eb40,3,2.5,1400,642337,39204,1967,19548,8,4,2,33055357
5dbf9d7dd923b05b4187eb40,4,3,3822,682541,39204,1920,20031,29,4,4,33053857
5dbf9d7dd923b05b4187eb40,4,3,1246,746809,42688,1967,20586,0,4,2,33055537
