CBSA,FIPS,AvgPrice,AvgPrIncr,Albuquerque,State,SaleInc,EmpInc,ConstInc,3YChEmp,3YChPerm,NormHousingGap,Dmd+Gain,ValDmd+Gain,NormDmd+EG,TransGain,ValTransGain
10740,35061,1690050,-0.0987,Wichita,NM,8.4,0.7,1,7283,4328,0.405739393,34285.99307,34285.99307,0.999999999,203290.9931,203290.9931
31540,55025,346500,0.0498,GrandRapids-Wyoming,WI,7.5,2,5.7,46275,5938,0.871680173,15101.859,15101.859,0.310346811,49751.859,49751.859
38340,25003,377500,-0.054,Farmington,MA,9,0.2,0.2,1942,504,0.740473738,13976.44181,13976.44181,0.287219219,51726.44181,51726.44181
44060,53065,330050,0.1101,Columbus,WA,9.3,2,2.9,71642,22218,0.689874655,11384.65649,11384.65649,0.233957411,44389.65649,44389.65649
40060,51087,368995,-0.0776,Deltona-DaytonaBeach-OrmondBeach,VA,7,2.2,3.2,6992,2765,0.604548055,11153.76048,11153.76048,0.229212443,48053.26048,48053.26048
37860,12113,299950,0.0654,Florence,FL,8.3,1,1.1,3517,978,0.721922093,10827.02659,10827.02659,0.222497984,40822.02659,40822.02659
11540,55087,229850,0.0789,Trenton,NJ,8.4,1.7,3.2,11233,1800,0.839757856,9650.917164,9650.917164,0.198328654,32635.91716,32635.91716
18140,39159,249500,0.134,SaltLakeCity,OH,9.4,3.2,7.2,56900,14750,0.740773286,9241.146749,9241.146749,0.189907774,34191.14675,34191.14675
24580,55009,250000,0.0002,Louisville/JeffersonCounty,WI,7.4,1.7,2.7,42808,11699,0.726709961,9083.874509,9083.874509,0.186675792,34083.87451,34083.87451
26620,1089,267500,0.045,Kennewick-Richland,AL,7.3,1,1.3,65017,21151,0.674685082,9023.912977,9023.912977,0.185443568,35773.91298,35773.91298
33340,55133,394950,0.0657,FortWayne,WI,8.3,4.9,8.3,6342,3510,0.446546831,8818.183538,8818.183538,0.181215779,48313.18354,48313.18354
44180,29225,202550,0.019,Canton-Massillon,MO,8.1,7.8,9.3,9442,1658,0.82440161,8349.127304,8349.127304,0.171576561,28604.1273,28604.1273
24340,26139,324950,0.0156,Madison,MI,8.2,7.8,9.9,18875,9213,0.51189404,8316.998411,8316.998411,0.170916305,40811.99841,40811.99841
22180,37051,173625,0.0951,Pensacola-FerryPass-Brent,NC,8.3,-0.3,-0.6,56671,5450,0.903830884,7846.381858,7846.381858,0.161245022,25208.88186,25208.88186
38860,23031,362050,0.0343,Durham-ChapelHill,ME,7.1,0.9,1.1,17675,10595,0.400565771,7251.241867,7251.241867,0.149014753,43456.24187,43456.24187
15940,39151,165025,0.1377,Springfield,OH,7.4,5.7,7.5,12575,1611,0.871888668,7194.171372,7194.171372,0.147841941,23696.67137,23696.67137
36100,12083,199750,-0.001,FondduLac,FL,9.2,3.2,3.4,2492,747,0.70024077,6993.654695,6993.654695,0.143721275,26968.6547,26968.6547
28740,36111,297050,0.0421,Hagerstown-Martinsburg,NY,9.1,1,1.5,4942,2620,0.469850263,6978.451032,6978.451032,0.143408836,36683.45103,36683.45103
22540,55039,155450,0.0367,Milwaukee-Waukesha-WestAllis,WI,8.9,3.3,8.2,29542,6068,0.794597522,6176.009241,6176.009241,0.126918466,21721.00924,21721.00924
22500,45041,174825,0.0251,Ocala,SC,8.8,2,3.6,5792,1785,0.691816298,6047.339218,6047.339218,0.124274266,23529.83922,23529.83922
17900,45079,239950,0.2302,Spokane-SpokaneValley,SC,9.8,2.2,2.7,9942,4947,0.502414001,6027.711979,6027.711979,0.123870922,30022.71198,30022.71198
22140,35045,219950,0.1,Philadelphia-Camden-Wilmington,NM,9.6,3.9,3.9,74658,34118,0.543009456,5971.746497,5971.746497,0.122720818,27966.7465,27966.7465
19460,1103,189974.5,-0.0007,Richmond,AL,7.4,-0.5,-0.5,30508,13588,0.554608627,5268.074833,5268.074833,0.108260197,24265.52483,24265.52483
31140,18043,237049.5,0.1885,GreenBay,KY-IN,7.7,3.7,5.9,5392,3197,0.40708457,4824.959686,4824.959686,0.099154075,28529.90969,28529.90969
25060,28047,219725,0.0989,Knoxville,MS,7.7,0.3,0.5,12492,7224,0.421709894,4633.010327,4633.010327,0.095209469,26605.51033,26605.51033
45940,34021,136300,0.1363,Birmingham-Hoover,NJ,7.3,7.2,20.8,17742,6181,0.65161763,4440.774152,4440.774152,0.09125897,18070.77415,18070.77415
24660,37151,168600,-0.0257,Lakeland-WinterHaven,NC,9.2,1.4,2.3,12492,7224,0.421709894,3555.014409,3555.014409,0.073056396,20415.01441,20415.01441
29460,12105,225050,-0.002,Greensboro-HighPoint,FL,7.7,1.9,1.9,9275,6551,0.293692722,3304.777358,3304.777358,0.067913964,25809.77736,25809.77736
13820,1127,147550,-0.0481,Springfield,AL,8.6,1.9,2.9,9608,5446,0.433180683,3195.790487,3195.790487,0.065674258,17950.79049,17950.79049
48620,20191,137750,0.02,Appleton,KS,9.9,1.7,2.3,4500,2592,0.424,2920.3,2920.3,0.060012863,16695.3,16695.3
5575,17129,149025,0.0756,Columbia,IL,7,1.7,3.1,5575,3874,0.305112108,2273.466592,2273.466592,0.046720282,17175.96659,17175.96659
25180,54003,225000,0.1247,Kingston,MD-WV,7.7,1.9,2.2,667,654,0.019490255,219.2653673,219.2653673,0.004505956,22719.26537,22719.26537
28420,53021,320200,-0.0553,Huntsville,WA,9.8,0.1,0.1,7275,7414,-0.019106529,-305.8955326,-305.8955326,-0.006286226,31714.10447,31714.10447
19660,12127,289950,0.0542,Portland-SouthPortland,FL,7.4,2.5,2.8,4492,4904,-0.091718611,-1329.690561,-1329.690561,-0.027325459,27665.30944,27665.30944
41620,49035,425050,0.0368,Decatur,UT,8,3.9,6,-2008,211,-1.105079681,-23485.70593,-23485.70593,-0.482636869,19019.29407,19019.29407
28940,47145,252475,0.0158,Gulfport-Biloxi-Pascagoulia,TN,8.7,1.7,2.3,1600,5002,-2.12625,-26841.24844,-26841.24844,-0.55159407,-1593.748438,-1593.748438
37980,42101,245000,0.1185,Fayetteville,PA-NJ-DE-MD,7.7,2.2,4.2,-2025,6019,-3.972345679,-48661.23457,-48661.23457,-1.419274467,-24161.23457,-24161.23457
20500,37135,419950,0.0244,Pittsfield,NC,8.9,1.7,3.1,75,365,-3.866666667,-81190.33333,-81190.33333,-1.668480753,-39195.33333,-39195.33333
23060,18003,224450,0.0951,Fort Wayne,IN,9.5,1.8,2.5,275,2514,-8.141818182,-91371.55455,-91371.55455,-1.877707282,-68926.55455,-68926.55455
