Id,Bed,Bath,Sqft,Price
3087043890.00,4.00,3.00,2459.00,895.00
5059285641.00,3.00,2.00,1296.00,539.00
5058724932.00,3.00,2.00,1450.00,469.00
1070982154.00,5.00,3.00,2546.00,739.00
3000619836.00,3.00,3.00,1820.00,600.00
5059326954.00,2.00,2.00,1297.00,460.00
5058557783.00,4.00,3.00,3400.00,799.00
5059931282.00,3.00,2.00,1811.00,615.00
5059759834.00,3.00,4.00,3970.00,875.00
5054927519.00,5.00,2.00,2088.00,699.00
5054951770.00,4.00,3.00,2236.00,789.00
3150945497.00,1.00,1.00,720.00,200.00
5059174147.00,5.00,3.00,1900.00,799.00
3220151867.00,5.00,2.00,1884.00,450.00
5042967707.00,4.00,3.00,4119.00,849.00
3239488893.00,4.00,1.00,1615.00,499.00
3126353718.00,7.00,3.00,2332.00,730.00
5060394668.00,3.00,3.00,1938.00,660.00
5057335750.00,4.00,4.00,4000.00,990.00
5057339336.00,5.00,4.00,2632.00,829.00
5056948651.00,4.00,4.00,3168.00,834.00
5043574268.00,4.00,4.00,3460.00,1100.00
5056632524.00,4.00,3.00,3095.00,789.00
3193422355.00,3.00,3.00,2329.00,975.00
5055577379.00,2.00,3.00,2915.00,685.00
5054112169.00,4.00,2.00,1800.00,679.00
5055994731.00,3.00,2.00,2200.00,799.00
5057817047.00,3.00,4.00,3860.00,750.00
1043934173.00,3.00,3.00,2000.00,799.00
5052850256.00,3.00,2.00,2194.00,719.00
1061954713.00,5.00,3.00,1958.00,340.00
1043667012.00,3.00,3.00,2274.00,799.00
5052481426.00,4.00,2.00,2000.00,649.00
5054042756.00,4.00,3.00,3025.00,879.00
3229866155.00,3.00,4.00,3734.00,895.00
5052933513.00,2.00,4.00,3562.00,849.00
5043389829.00,2.00,3.00,1450.00,400.00
1071652196.00,2.00,2.00,1024.00,399.00
5039034729.00,3.00,3.00,2544.00,969.00
3000129339.00,3.00,2.00,2165.00,620.00
5040892343.00,3.00,2.00,1800.00,629.00
5060704696.00,6.00,6.00,6100.00,1360.00
3163173392.00,3.00,2.00,1488.00,489.00
5060067317.00,3.00,3.00,2616.00,629.00
5060211660.00,3.00,3.00,1909.00,669.00
3155565107.00,3.00,1.00,1856.00,810.00
1034452863.00,4.00,3.00,2912.00,879.00
3236802783.00,3.00,3.00,2023.00,679.00
5059164656.00,4.00,3.00,3100.00,599.00
5058815070.00,5.00,5.00,5785.00,1850.00
5057002067.00,2.00,1.00,1821.00,549.00
1027408422.00,3.00,3.00,1900.00,570.00
5054098096.00,3.00,2.00,1364.00,375.00
3211473362.00,3.00,2.00,1893.00,480.00
5057426145.00,4.00,3.00,3400.00,1100.00
5057971467.00,4.00,2.00,2048.00,649.00
5058125762.00,5.00,4.00,3400.00,899.00
3009634525.00,4.00,4.00,3547.00,1300.00
17395099.00,3.00,2.00,3300.00,850.00
1043804511.00,4.00,3.00,5120.00,1400.00
3224814303.00,4.00,3.00,2200.00,699.00
5057422838.00,3.00,3.00,3979.00,1400.00
1066621115.00,5.00,4.00,5156.00,1280.00
3210738021.00,3.00,3.00,3144.00,639.00
1092299185.00,4.00,3.00,6677.00,1200.00
5053166797.00,4.00,3.00,1940.00,750.00
5054487661.00,5.00,4.00,5374.00,1420.00
3262895971.00,5.00,4.00,5046.00,1090.00
1044886931.00,5.00,3.00,3013.00,899.00
3150848989.00,4.00,3.00,4224.00,1240.00
1090857348.00,3.00,3.00,2015.00,849.00
3054077721.00,4.00,4.00,5400.00,1130.00
5048028248.00,4.00,3.00,2796.00,825.00
1044886929.00,4.00,3.00,2889.00,950.00
5047658718.00,6.00,4.00,4693.00,1100.00
5042244114.00,4.00,2.00,2275.00,379.00
