Id,Bed,Bath,Sqft,Price
3087043890,4,3,2459,895
5059285641,3,2,1296,539
5058724932,3,2,1450,469
1070982154,5,3,2546,739
3000619836,3,3,1820,600
5059326954,2,2,1297,460
5058557783,4,3,3400,799
5059931282,3,2,1811,615
5059759834,3,4,3970,875
5054927519,5,2,2088,699
5054951770,4,3,2236,789
3150945497,1,1,720,200
5059174147,5,3,1900,799
3220151867,5,2,1884,450
5042967707,4,3,4119,849
3239488893,4,1,1615,499
3126353718,7,3,2332,730
5060394668,3,3,1938,660
5057335750,4,4,4000,990
5057339336,5,4,2632,829
5056948651,4,4,3168,834
5043574268,4,4,3460,1100
5056632524,4,3,3095,789
3193422355,3,3,2329,975
5055577379,2,3,2915,685
5054112169,4,2,1800,679
5055994731,3,2,2200,799
5057817047,3,4,3860,750
1043934173,3,3,2000,799
5052850256,3,2,2194,719
1061954713,5,3,1958,340
1043667012,3,3,2274,799
5052481426,4,2,2000,649
5054042756,4,3,3025,879
3229866155,3,4,3734,895
5052933513,2,4,3562,849
5043389829,2,3,1450,400
1071652196,2,2,1024,399
5039034729,3,3,2544,969
3000129339,3,2,2165,620
5040892343,3,2,1800,629
5060704696,6,6,6100,1360
3163173392,3,2,1488,489
5060067317,3,3,2616,629
5060211660,3,3,1909,669
3155565107,3,1,1856,810
1034452863,4,3,2912,879
3236802783,3,3,2023,679
5059164656,4,3,3100,599
5058815070,5,5,5785,1850
5057002067,2,1,1821,549
1027408422,3,3,1900,570
5054098096,3,2,1364,375
3211473362,3,2,1893,480
5057426145,4,3,3400,1100
5057971467,4,2,2048,649
5058125762,5,4,3400,899
3009634525,4,4,3547,1300
17395099,3,2,3300,850
1043804511,4,3,5120,1400
3224814303,4,3,2200,699
5057422838,3,3,3979,1400
1066621115,5,4,5156,1280
3210738021,3,3,3144,639
1092299185,4,3,6677,1200
5053166797,4,3,1940,750
5054487661,5,4,5374,1420
3262895971,5,4,5046,1090
1044886931,5,3,3013,899
3150848989,4,3,4224,1240
1090857348,3,3,2015,849
3054077721,4,4,5400,1130
5048028248,4,3,2796,825
1044886929,4,3,2889,950
5047658718,6,4,4693,1100
5042244114,4,2,2275,379
