Id,Bed,Bath,Sqft,Price
5d4a46f332f80f7738499c96,2,2,1000,275
5d4a46f332f80f7738499c96,2,1,1000,200
5d4a46f332f80f7738499c96,3,1,1240,240
5d4a46f332f80f7738499c96,3,1.1,1594,318
5d4a46f332f80f7738499c96,4,1,1395,190
5d4a46f332f80f7738499c96,3,2,1183,189
5d4a46f332f80f7738499c96,3,3,2350,467
5d4a46f332f80f7738499c96,4,3,1698,410
5d4a46f332f80f7738499c96,4,3,2483,731
5d4a46f332f80f7738499c96,4,2.5,2102,684
5d4a46f332f80f7738499c96,3,3,1900,482
5d4a46f332f80f7738499c96,2,1.1,974,278
5d4a46f332f80f7738499c96,5,2,1800,320
5d4a46f332f80f7738499c96,4,1.5,1741,230
5d4a46f332f80f7738499c96,4,3,1302,289
5d4a46f332f80f7738499c96,3,1.5,1476,471
5d4a46f332f80f7738499c96,3,1.5,1218,538
5d4a46f332f80f7738499c96,4,2,2340,681
